id,asleepTime,awakeTime,currTime,accel,isAsleep=1,noise
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:35:00,0.05282791,0,271.526
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.044390127,None,248.9487
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.044390127,None,248.9487
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.03668608,None,27.912891
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.061999433,None,69.763
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.05282791,None,84.43599
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.052827932,None,65.111534
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:36:00,0.0719047,0,40.615585
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.044390135,None,41.5301
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.044390135,None,41.5301
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.052827936,None,45.42309
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.044390127,None,46.26307
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.044390142,None,65.00829
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.052827943,None,114.8655
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:37:00,0.061999433,0,50.25774
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.052827932,None,50.25774
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.052827932,None,50.25774
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.052827936,None,43.216194
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.052827936,None,106.09667
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.061999507,None,410.94064
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.052827917,None,411.64462
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:38:00,0.0719047,0,73.769
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.044390135,None,141.65678
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.044390135,None,141.65678
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.044390164,None,141.28772
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.04439016,None,61.63303
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.044390164,None,223.12044
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.061999433,None,223.21175
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:39:00,0.044390127,0,47.961563
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.061999425,None,892.4286
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.061999425,None,892.4286
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.03668606,None,892.4462
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.061999463,None,158.77663
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.03668607,None,31.978912
1423391344167,2015-08-02 05:29:00,2015-08-02 09:50:00,2015-08-02 05:40:00,0.052827932,None,38.33539
