id,from,to,time,accel
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,0.2600442,1390.1842
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,0.55548,1805.4872
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,1.1203799,1805.5193
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,0.15387225,82.79717
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,0.15387246,563.2256
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:12:00,0.15387239,552.15784
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.55548006,3721.8108
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.18618645,3721.8108
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.74474305,239.71414
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.67857796,243.25835
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.7447425,972.84143
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:13:00,0.15387309,972.7624
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,0.81398565,509.95804
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,0.6785777,225.8944
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,0.61549,184.98167
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,1.06657,122.66649
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,0.15387243,79.299164
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:14:00,0.221577,228.54613
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,0.6154915,68.13844
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,0.6154902,70.295006
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,1.1377511,62.410397
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,0.15387292,98.24427
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,0.34621346,561.9741
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:15:00,0.55548,564.73035
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.18618555,544.8657
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.39391372,597.0348
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.2600443,20324.424
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.15387246,187.92053
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.22157618,83.67851
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:16:00,0.49854723,790.5444
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,0.26004437,926.0829
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,1.1883423,1268.4012
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,0.15387246,1270.5676
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,0.18618555,347.10944
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,0.18618569,346.9672
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:17:00,1.204734,614.71405
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.15387236,616.27264
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.81398535,509.12073
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.15387316,1611.8966
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.678578,4195.7446
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.67857784,4195.641
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:18:00,0.22157611,333.4515
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.6154904,435.24692
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.7447432,435.2296
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.15387316,1702.3273
