datetime,time,noise,duringSleep
2013-05-02 00:52:31,1367470351,1563.63247863,False
2013-05-02 00:54:31,1367470471,1111.64957265,False
2013-05-02 00:56:31,1367470591,1180.87179487,False
2013-05-02 00:58:31,1367470711,1355.85470085,False
2013-05-02 01:00:31,1367470831,1147.66666667,False
2013-05-02 01:02:31,1367470951,1140.05982906,False
2013-05-02 01:04:31,1367471071,1373.15384615,True
2013-05-02 01:06:31,1367471191,1226.35042735,True
2013-05-02 01:08:31,1367471311,1168.5042735,True
2013-05-02 01:10:31,1367471431,1098.32478632,True
2013-05-02 01:12:31,1367471551,1182.68376068,True
2013-05-02 01:14:31,1367471671,1324.97435897,True
2013-05-02 01:16:31,1367471791,1147.20512821,True
2013-05-02 01:18:31,1367471911,1253.82905983,True
2013-05-02 01:20:31,1367472031,1169.91452991,True
2013-05-02 01:22:31,1367472151,1300.35897436,True
2013-05-02 01:24:31,1367472271,1229.86324786,True
2013-05-02 01:26:31,1367472391,1130.1025641,True
2013-05-02 01:28:31,1367472511,1143.23931624,True
2013-05-02 01:30:31,1367472631,1135.54700855,True
2013-05-02 01:32:31,1367472751,1335.00854701,True
2013-05-02 01:34:31,1367472871,1238.05982906,True
2013-05-02 01:36:31,1367472991,1149.97435897,True
2013-05-02 01:38:31,1367473111,1176.86324786,True
2013-05-02 01:40:31,1367473231,1139.57264957,True
2013-05-02 01:42:31,1367473351,1364.2991453,True
2013-05-02 01:44:31,1367473471,1298.46153846,True
2013-05-02 01:46:31,1367473591,1191.33333333,True
2013-05-02 01:48:31,1367473711,1173.41025641,True
2013-05-02 01:50:31,1367473831,1473.73504274,True
2013-05-02 01:52:31,1367473951,1296.77777778,True
2013-05-02 01:54:31,1367474071,1172.43589744,True
2013-05-02 01:56:31,1367474191,1142.85470085,True
2013-05-02 01:58:31,1367474311,1170.11111111,True
2013-05-02 02:00:31,1367474431,1159.0,True
2013-05-02 02:02:31,1367474551,1240.38461538,True
2013-05-02 02:04:31,1367474671,1129.08547009,True
2013-05-02 02:06:31,1367474791,1180.81196581,True
2013-05-02 02:08:31,1367474911,1200.23931624,True
2013-05-02 02:10:31,1367475031,1147.41880342,True
2013-05-02 02:12:31,1367475151,1430.37606838,True
2013-05-02 02:14:31,1367475271,1159.96581197,True
