userid,currDatetime,timeSeconds,fallAsleepTime,wakeUpTime,outOfBedTime,movement,moveEvent,sleepQuality
013,30,1367370288,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,4.0,True,3
013,30,1367370391,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,5.0,True,3
013,30,1367370511,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,3.0,True,3
013,30,1367370631,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,7.0,True,3
013,30,1367370751,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,5.0,True,3
013,30,1367370871,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367370991,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
013,30,1367371111,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
013,30,1367371231,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367371351,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
013,30,1367371471,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367371591,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367371711,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367371831,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,False,3
013,30,1367371951,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
013,30,1367372071,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
013,30,1367372191,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,0.0,False,3
