datetime,time,light,duringSleep
2013-05-02 10:44:00,1367505840,32.5,False
2013-05-02 10:46:00,1367505960,32.5,False
2013-05-02 10:48:00,1367506080,55.0,False
2013-05-02 10:50:00,1367506200,10.0,False
2013-05-02 10:52:00,1367506320,10.0,False
2013-05-02 10:54:00,1367506440,10.0,False
2013-05-02 10:56:00,1367506560,55.0,False
2013-05-02 10:58:00,1367506680,77.5,False
2013-05-02 11:00:00,1367506800,55.0,False
2013-05-02 11:02:00,1367506920,55.0,False
2013-05-02 11:04:00,1367507040,55.0,False
2013-05-02 11:06:00,1367507160,32.5,False
2013-05-02 11:08:00,1367507280,32.5,False
2013-05-02 11:10:00,1367507400,10.0,False
2013-05-02 11:12:00,1367507520,10.0,False
2013-05-02 11:14:00,1367507640,100.0,False
2013-05-02 11:16:00,1367507760,100.0,False
2013-05-02 11:18:00,1367507880,100.0,False
2013-05-02 11:20:00,1367508000,100.0,False
2013-05-02 11:22:00,1367508120,100.0,False
2013-05-02 11:24:00,1367508240,100.0,False
2013-05-02 11:26:00,1367508360,100.0,False
2013-05-02 11:28:00,1367508480,100.0,False
2013-05-02 11:30:00,1367508600,100.0,False
2013-05-02 11:32:00,1367508720,77.5,False
2013-05-02 11:34:00,1367508840,100.0,False
2013-05-02 11:36:00,1367508960,100.0,False
2013-05-02 11:38:00,1367509080,77.5,False
2013-05-02 11:40:00,1367509200,100.0,False
2013-05-02 11:42:00,1367509320,10.0,False
2013-05-02 11:44:00,1367509440,10.0,False
2013-05-02 11:46:00,1367509560,10.0,False
2013-05-02 11:48:00,1367509680,10.0,False
2013-05-02 11:50:00,1367509800,10.0,False
2013-05-02 11:52:00,1367509920,10.0,False
2013-05-02 11:54:00,1367510040,100.0,False
2013-05-02 11:56:00,1367510160,100.0,False
2013-05-02 11:58:00,1367510280,100.0,False
2013-05-02 12:00:00,1367510400,100.0,False
2013-05-02 12:02:00,1367510520,10.0,False
2013-05-02 12:04:00,1367510640,100.0,False
2013-05-02 12:06:00,1367510760,100.0,False
2013-05-02 12:08:00,1367510880,100.0,False
2013-05-02 12:10:00,1367511000,100.0,False
2013-05-02 12:44:36,1367513076,1000.0,False
2013-05-02 12:46:18,1367513178,1000.0,False
2013-05-02 12:48:18,1367513298,1000.0,False
2013-05-02 12:52:19,1367513539,1000.0,False
2013-05-02 12:54:19,1367513659,12250.0,False
2013-05-02 12:56:19,1367513779,16000.0,False
2013-05-02 12:58:19,1367513899,16000.0,False
2013-05-02 13:00:19,1367514019,1000.0,False
2013-05-02 13:02:19,1367514139,2800.0,False
2013-05-02 13:04:19,1367514259,1000.0,False
2013-05-02 13:06:19,1367514379,32.5,False
2013-05-02 13:08:19,1367514499,10.0,False
2013-05-02 13:10:19,1367514619,10.0,False
2013-05-02 13:12:19,1367514739,10.0,False
2013-05-02 13:14:19,1367514859,505.0,False
2013-05-02 13:16:20,1367514980,505.0,False
2013-05-02 13:18:19,1367515099,226.0,False
2013-05-02 13:20:20,1367515220,1000.0,False
2013-05-02 13:22:20,1367515340,1000.0,False
2013-05-02 13:24:19,1367515459,5500.0,False
2013-05-02 13:26:19,1367515579,1000.0,False
2013-05-02 13:28:20,1367515700,752.5,False
2013-05-02 13:30:19,1367515819,802.0,False
2013-05-02 13:32:19,1367515939,10.0,False
2013-05-02 13:34:20,1367516060,257.5,False
2013-05-02 13:36:20,1367516180,10.0,False
2013-05-02 13:38:19,1367516299,10.0,False
2013-05-02 13:40:20,1367516420,10.0,False
2013-05-02 13:42:19,1367516539,257.5,False
2013-05-02 13:44:19,1367516659,2755.0,False
2013-05-02 13:46:19,1367516779,7750.0,False
2013-05-02 13:48:19,1367516899,1000.0,False
2013-05-02 13:50:19,1367517019,10.0,False
2013-05-02 13:52:20,1367517140,32.5,False
2013-05-02 13:54:19,1367517259,10.0,False
2013-05-02 13:56:19,1367517379,32.5,False
2013-05-02 13:58:19,1367517499,10.0,False
2013-05-02 14:00:19,1367517619,10.0,False
2013-05-02 14:02:19,1367517739,64.0,False
2013-05-02 14:04:19,1367517859,527.5,False
2013-05-02 14:06:20,1367517980,1000.0,False
2013-05-02 15:59:06,1367524746,10.0,False
2013-05-02 16:00:48,1367524848,280.0,False
2013-05-02 16:02:49,1367524969,1000.0,False
2013-05-02 16:04:48,1367525088,100.0,False
2013-05-02 16:06:48,1367525208,1000.0,False
2013-05-02 16:08:48,1367525328,820.0,False
2013-05-02 16:10:48,1367525448,77.5,False
2013-05-02 16:12:48,1367525568,1000.0,False
2013-05-02 16:14:48,1367525688,1000.0,False
2013-05-02 16:16:48,1367525808,100.0,False
2013-05-02 16:18:49,1367525929,10.0,False
2013-05-02 16:20:48,1367526048,100.0,False
2013-05-02 16:22:48,1367526168,1000.0,False
2013-05-02 16:24:48,1367526288,100.0,False
2013-05-02 16:26:48,1367526408,100.0,False
2013-05-02 16:28:48,1367526528,1000.0,False
2013-05-02 16:30:48,1367526648,640.0,False
2013-05-02 16:32:48,1367526768,820.0,False
2013-05-02 16:34:48,1367526888,100.0,False
2013-05-02 16:36:48,1367527008,100.0,False
